Year,Country Index,Country,Region Index,Region,Province / State,City,Latitude,Longitude,Multiple Attack,Success Attack,Suicide,Attack Type Index,Attack Type,Target Type Index,Target Type,Weapon Type Index,Weapon Type,Total No. of Fatalities,Total No. of Injured,Total No. of Hostages/Kidnapping Victims
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,3,7,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,1,6,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,6,Hostage Taking (Kidnapping),10,Journalists & Media,5,Firearms,2,,2
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,3,7,
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Al-Halabsah,32.559761,41.919647,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,40,,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,2,6,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,0,2,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,8,Educational Institution,6,Explosives,5,,
2007,95,Iraq,10,Middle East & North Africa,Diyala,Madain,33.100529,44.584492,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,8,18,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,2,Armed Assault,3,Police,5,Firearms,1,0,
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,8,21,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,3,Police,6,Explosives,0,5,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,2,Government (General),6,Explosives,0,0,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,8,18,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,1,Business,6,Explosives,4,,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,2,Armed Assault,14,Private Citizens & Property,5,Firearms,25,,
